Date,ticker,Open,High,Low,Close,Volume,Daily_Returns_%
2023-03-23,SHIB,1.059315566e-05,1.095230371e-05,1.057652186e-05,1.085400583e-05,213909768.88,2.4520363932167166
2023-03-24,SHIB,1.085377183e-05,1.087041128e-05,1.04135809e-05,1.062229529e-05,200122399.65,-2.1347928463384735
2023-03-25,SHIB,1.062309835e-05,1.070960552e-05,1.040605713e-05,1.050950265e-05,138048873.62,-1.0618480932853114
2023-03-26,SHIB,1.050971018e-05,1.06835829e-05,1.049235841e-05,1.06223852e-05,124786850.05,1.074099829072317
2023-03-27,SHIB,1.062313728e-05,1.096000353e-05,1.02630772e-05,1.041042501e-05,273074663.19,-1.9954105034714953
2023-03-28,SHIB,1.041013567e-05,1.049019296e-05,1.028411013e-05,1.045752208e-05,148367923.02,0.45240295141417697
2023-03-29,SHIB,1.045736414e-05,1.084866935e-05,1.044921737e-05,1.068116548e-05,204105010.28,2.1385888386285856
2023-03-30,SHIB,1.068155765e-05,1.078453979e-05,1.044756373e-05,1.056138579e-05,188694559.36,-1.121410301378456
2023-03-31,SHIB,1.056289928e-05,1.092687306e-05,1.051430154e-05,1.084509778e-05,174101731.53,2.6863140466721003
2023-04-01,SHIB,1.08465992e-05,1.149905277e-05,1.074381732e-05,1.133403212e-05,369171834.86,4.508344229977057
2023-04-02,SHIB,1.118536389e-05,1.146528804e-05,1.07455995e-05,1.081212139e-05,254661990.97,-4.604810754674304
2023-04-03,SHIB,1.081243396e-05,1.156757881e-05,1.057183029e-05,1.122960153e-05,494870868.2,3.861223204413178
2023-04-04,SHIB,1.122902687e-05,1.154199288e-05,1.112080067e-05,1.122042039e-05,367245171.77,-0.08175837740522773
2023-04-05,SHIB,1.122094519e-05,1.146447544e-05,1.109812716e-05,1.122356836e-05,235709798.74,0.028055722429143337
2023-04-06,SHIB,1.122481334e-05,1.122949806e-05,1.089056338e-05,1.095402863e-05,207144387.03,-2.401551105267208
2023-04-07,SHIB,1.095500038e-05,1.100266012e-05,1.084515031e-05,1.094149506e-05,126884635.18,-0.11441973015912099
2023-04-08,SHIB,1.093963041e-05,1.106062158e-05,1.082171804e-05,1.08678944e-05,119278323.21,-0.6726746171011877
2023-04-09,SHIB,1.086781788e-05,1.099472803e-05,1.08330721e-05,1.096139498e-05,125019373.06,0.8603375829636439
2023-04-10,SHIB,1.096182655e-05,1.114984398e-05,1.086781802e-05,1.112650811e-05,143685939.14,1.5063149380280638
2023-04-11,SHIB,1.112700488e-05,1.117524957e-05,1.104112155e-05,1.105712107e-05,164670493.73,-0.6236191922390888
2023-04-12,SHIB,1.105681803e-05,1.107951594e-05,1.070167145e-05,1.093791719e-05,167850193.15,-1.0780733904001694
2023-04-13,SHIB,1.09667972e-05,1.120598882e-05,1.091692806e-05,1.110930736e-05,171023013.15,1.5669360722230907
2023-04-14,SHIB,1.110919029e-05,1.145206151e-05,1.102151465e-05,1.126513813e-05,305858265.32,1.4027046417050437
2023-04-15,SHIB,1.126469697e-05,1.158467642e-05,1.108756568e-05,1.158309375e-05,231104645.49,2.822474223846916
2023-04-16,SHIB,1.157567871e-05,1.185376416e-05,1.143903338e-05,1.157093956e-05,328660336.42,-0.10493042931644103
2023-04-17,SHIB,1.157160769e-05,1.16699198e-05,1.129766013e-05,1.137562597e-05,325289622.29,-1.687966556105669
2023-04-18,SHIB,1.137700708e-05,1.169570033e-05,1.128893316e-05,1.158023274e-05,212355293.57,1.7986418553105787
2023-04-19,SHIB,1.157956017e-05,1.158648083e-05,1.073502234e-05,1.084386802e-05,311293493.2,-6.358807603723515
2023-04-20,SHIB,1.084315461e-05,1.099762603e-05,1.045383189e-05,1.059504709e-05,244536626.11,-2.2945772628464756
2023-04-21,SHIB,1.059543897e-05,1.066669517e-05,1.012485707e-05,1.028238168e-05,200055455.86,-2.951052575265145
2023-04-22,SHIB,1.028164254e-05,1.049007108e-05,1.020930764e-05,1.046302807e-05,115556606.01,1.7568535736362634
2023-04-23,SHIB,1.046325496e-05,1.046325496e-05,1.015520021e-05,1.033478871e-05,114408560.45,-1.2256428936446517
2023-04-24,SHIB,1.03343917e-05,1.041129282e-05,1.015145547e-05,1.027814111e-05,133581849.05,-0.5481253810751596
2023-04-25,SHIB,1.027786645e-05,1.041424961e-05,1.010606056e-05,1.037105366e-05,125929761.71,0.9039820431109069
2023-04-26,SHIB,1.037075076e-05,1.072159049e-05,9.89544437e-06,1.016609635e-05,201161823.05,-1.9762438486891298
2023-04-27,SHIB,1.016595404e-05,1.038294755e-05,1.015403425e-05,1.027739925e-05,119083329.65,1.0948440401118198
2023-04-28,SHIB,1.027729425e-05,1.03073031e-05,1.015914625e-05,1.025314604e-05,81673359.32,-0.23598586967418234
2023-04-29,SHIB,1.025304905e-05,1.035833112e-05,1.024365907e-05,1.029199497e-05,70975568.79,0.3788976558847468
2023-04-30,SHIB,1.029164396e-05,1.030486545e-05,1.00657861e-05,1.011243054e-05,86965365.94,-1.74469993935491
2023-05-01,SHIB,1.011122613e-05,1.012088574e-05,9.80922298e-06,9.96680101e-06,132257568.9,-1.440104131484099
2023-05-02,SHIB,9.96755294e-06,1.011025835e-05,9.87109623e-06,1.001773109e-05,96912218.51,0.5109972592901357
2023-05-03,SHIB,1.001814697e-05,1.018485634e-05,9.83864982e-06,1.012096543e-05,107686168.91,1.0305161824821996
2023-05-04,SHIB,1.012144322e-05,1.012443453e-05,9.89316052e-06,9.89555059e-06,87126736.77,-2.2272068960124902
2023-05-05,SHIB,9.89617796e-06,1.00330684e-05,9.84825724e-06,1.000659225e-05,136928124.74,1.1221372574479416
2023-05-06,SHIB,1.000761804e-05,1.00370672e-05,9.35455615e-06,9.48354987e-06,177152461.1,-5.226978045398023
2023-05-07,SHIB,9.48249999e-06,9.52721091e-06,9.37007653e-06,9.38128577e-06,94172822.83,-1.0783314413044809
2023-05-08,SHIB,9.37892877e-06,9.37892877e-06,8.54353342e-06,8.92112938e-06,214449628.39,-4.90504608090625
2023-05-09,SHIB,8.92037675e-06,9.01505717e-06,8.74781084e-06,9.00562824e-06,125827100.31,0.9471767127314124
2023-05-10,SHIB,9.00506222e-06,9.11785614e-06,8.75947621e-06,9.0121915e-06,155909206.18,0.07287953516499357
2023-05-11,SHIB,9.01334298e-06,9.01334298e-06,8.58711775e-06,8.69536563e-06,115690524.1,-3.5155252748457433
2023-05-12,SHIB,8.69460597e-06,8.84620806e-06,8.53130772e-06,8.84519221e-06,134528810.61,1.7230624493015156
2023-05-13,SHIB,8.84521397e-06,8.84619567e-06,8.69108906e-06,8.73150415e-06,86060624.16,-1.285309095617737
2023-05-14,SHIB,8.73095415e-06,8.86527811e-06,8.67370756e-06,8.78673037e-06,79040227.01,0.6324937725649571
2023-05-15,SHIB,8.78696417e-06,8.90704788e-06,8.69856544e-06,8.80464733e-06,98629072.01,0.2039092955574473
2023-05-16,SHIB,8.80524919e-06,8.82767565e-06,8.68994292e-06,8.77190406e-06,90714867.13,-0.37188621841143243
2023-05-17,SHIB,8.77181264e-06,8.83791268e-06,8.60640297e-06,8.77793904e-06,107255996.91,0.0687989740735917
2023-05-18,SHIB,8.77627208e-06,8.82018664e-06,8.52571875e-06,8.70607525e-06,105248285.89,-0.8186863644475739
2023-05-19,SHIB,8.7069469e-06,8.72820407e-06,8.66261563e-06,8.68101276e-06,65570742.72,-0.2878735742606886
2023-05-20,SHIB,8.68103141e-06,8.76093921e-06,8.64791238e-06,8.71900997e-06,54364646.09,0.43770480530891387
2023-05-21,SHIB,8.71823976e-06,8.75240687e-06,8.51448949e-06,8.52695774e-06,66426257.76,-2.2026839132058162
2023-05-22,SHIB,8.52553775e-06,8.98173076e-06,8.45752427e-06,8.78549582e-06,154480761.98,3.032008459326563
2023-05-23,SHIB,8.78717499e-06,9.0672636e-06,8.78714215e-06,8.89858286e-06,122455436.02,1.2872015685507554
2023-05-24,SHIB,8.89800183e-06,8.90160797e-06,8.44118264e-06,8.51922765e-06,103506570.92,-4.263096899453944
2023-05-25,SHIB,8.51921589e-06,8.57089596e-06,8.36990469e-06,8.5069752e-06,103494926.41,-0.14382113618012227
2023-05-26,SHIB,8.50690477e-06,8.59021683e-06,8.44489495e-06,8.55766335e-06,85128802.6,0.5958422213338643
2023-05-27,SHIB,8.55745013e-06,8.64973234e-06,8.51936269e-06,8.63551761e-06,52808408.78,0.9097607234105576
2023-05-28,SHIB,8.63605036e-06,8.89047305e-06,8.60670476e-06,8.81617894e-06,106827213.79,2.0920729730293575
2023-05-29,SHIB,8.81701652e-06,8.85738631e-06,8.7038448e-06,8.71666407e-06,75977045.49,-1.128775523696457
2023-05-30,SHIB,8.71599737e-06,8.78444354e-06,8.6489828e-06,8.68154965e-06,77925390.57,-0.4028424144605136
2023-05-31,SHIB,8.68144867e-06,8.70443113e-06,8.34013242e-06,8.55454847e-06,94850063.06,-1.462886064356017
2023-06-01,SHIB,8.55545294e-06,8.73860596e-06,8.45738678e-06,8.4638457e-06,91129312.62,-1.0602870545194487
2023-06-02,SHIB,8.46384185e-06,8.7216478e-06,8.27383274e-06,8.60026241e-06,103959016.67,1.611757997903962
2023-06-03,SHIB,8.60112357e-06,8.68686635e-06,8.5462168e-06,8.59683029e-06,60013899.16,-0.039907154414364765
2023-06-04,SHIB,8.59652111e-06,8.68468179e-06,8.55970622e-06,8.61078852e-06,61987040.42,0.16236484296119347
2023-06-05,SHIB,8.61109879e-06,8.64877168e-06,7.86101439e-06,7.99440284e-06,157539024.12,-7.1582954170613
2023-06-06,SHIB,7.99361013e-06,8.22199414e-06,7.9048966e-06,8.17945917e-06,102888829.98,2.3148236798134603
2023-06-07,SHIB,8.17928742e-06,8.18000267e-06,7.79493348e-06,7.87812876e-06,99119894.9,-3.683989414669331
2023-06-08,SHIB,7.87809918e-06,8.00330047e-06,7.83892884e-06,7.95267298e-06,69733321.64,0.9462173349906067
2023-06-09,SHIB,7.95332626e-06,8.03849827e-06,7.84219017e-06,7.88583986e-06,78014639.3,-0.8403856183710534
2023-06-10,SHIB,7.88664329e-06,7.90954925e-06,5.71731248e-06,6.86732527e-06,402522019.33,-12.915740213877491
2023-06-11,SHIB,6.86710436e-06,6.87440254e-06,6.577541e-06,6.67074907e-06,111177162.06,-2.8624856442834523
2023-06-12,SHIB,6.67834076e-06,6.69329608e-06,6.47531585e-06,6.67338769e-06,100135833.59,0.039555078032638136
2023-06-13,SHIB,6.67362394e-06,6.89054783e-06,6.61970223e-06,6.79291719e-06,91647736.2,1.7911367592072125
2023-06-14,SHIB,6.79291974e-06,6.92377106e-06,6.47749057e-06,6.55557939e-06,88041050.0,-3.493900975995845
2023-06-15,SHIB,6.55526729e-06,6.81950484e-06,6.51816031e-06,6.75371505e-06,67879050.57,3.022397384161657
2023-06-16,SHIB,6.75373694e-06,6.8480315e-06,6.64579087e-06,6.82531909e-06,61620712.23,1.0602170726761617
2023-06-17,SHIB,6.82575031e-06,6.98337701e-06,6.79582085e-06,6.9726131e-06,58866440.25,2.1580530969724787
2023-06-18,SHIB,6.97181361e-06,7.50779357e-06,6.92191409e-06,7.21538781e-06,196381639.32,3.481832514125882
2023-06-19,SHIB,7.21627501e-06,7.30921016e-06,7.07061281e-06,7.22329607e-06,102490689.55,0.10960270200639499
2023-06-20,SHIB,7.22364488e-06,7.27683223e-06,6.99293606e-06,7.27480904e-06,98126113.67,0.7131504717623915
2023-06-21,SHIB,7.27428396e-06,7.60045042e-06,7.26091754e-06,7.56311465e-06,150062421.0,3.963067737101733
2023-06-22,SHIB,7.56311377e-06,8.41039166e-06,7.54260776e-06,7.8148455e-06,365516265.02,3.3284018773931834
2023-06-23,SHIB,7.81377291e-06,8.12574718e-06,7.73219509e-06,7.92618954e-06,164734022.92,1.4247759600621634
2023-06-24,SHIB,7.92766961e-06,8.05816769e-06,7.72040087e-06,7.82420735e-06,118080758.05,-1.286648388678313
2023-06-25,SHIB,7.82606934e-06,8.01948443e-06,7.78866363e-06,7.86761204e-06,98980263.93,0.5547487184117017
